MA_100058g0010	AT4G32850
MA_242g0010	AT4G05200
MA_919101g0010	AT2G19130
MA_7028429g0010	AT2G06990
MA_10102675g0010	AT1G50010
MA_101877g0010	AT3G06100
MA_10426233g0010	AT5G11510
MA_10428908g0010	AT2G38770
MA_10429132g0010	AT2G17260
MA_10433577g0020	AT5G11700
MA_10436414g0010	AT1G66430
MA_127251g0010	AT1G19310
MA_175298g0010	AT5G39660
MA_179388g0010	AT1G08230
MA_2055g0010	AT2G42940
MA_480885g0010	AT5G23400
MA_64261g0010	AT5G51660
MA_7369144g0010	AT4G20140
MA_79559g0010	AT1G67840
MA_9349606g0010	AT1G80160
MA_10429545g0010	AT5G47910
MA_10430576g0010	AT1G01910
MA_10432119g0010	AT1G79690
MA_10435954g0010	AT3G05740
MA_173808g0010	AT4G20850
MA_425572g0010	AT5G05340
MA_6785947g0010	AT5G65840
MA_911577g0010	AT1G59870
MA_10430423g0010	AT4G28190
MA_10435030g0010	AT1G08720
MA_193509g0010	AT3G03790
MA_33846g0010	AT4G14770
MA_46617g0010	AT4G05050
MA_9868128g0010	AT3G52500
MA_10336161g0010	AT2G22125
MA_135427g0010	AT4G04460
MA_138239g0010	AT5G65260
MA_24176g0010	AT1G47530
MA_260011g0010	AT3G27540
MA_510931g0010	AT3G55550
MA_5725043g0010	AT4G17090
MA_796753g0010	AT3G55620
MA_91294g0020	AT4G33420
MA_10115394g0010	AT1G71695
MA_10286643g0010	AT3G22470
MA_10430745g0010	AT4G29160
MA_10436552g0010	AT2G41760
MA_111545g0020	AT3G61860
MA_147596g0010	AT3G01280
MA_19749g0010	AT5G05340
MA_27987g0010	AT4G17870
MA_309699g0010	AT5G45820
MA_56506g0010	AT3G60600
MA_879423g0010	AT5G55710
MA_94467g0010	AT3G13540
MA_10434888g0010	AT5G18980
MA_18130g0010	AT1G07160
MA_219076g0010	AT2G43870
MA_393966g0010	AT4G19600
MA_591864g0010	AT2G22125
MA_8237396g0010	AT1G09640
MA_90345g0010	AT3G17365
MA_98273g0010	AT3G28730
MA_10426469g0010	AT3G24240
MA_10427919g0010	AT5G67500
MA_10436363g0010	AT3G60830
MA_19719g0010	AT3G23570
MA_355885g0010	AT5G60390
MA_6652855g0010	AT4G00450
MA_94078g0010	AT4G03080
MA_10428006g0030	AT3G45980
MA_10428783g0020	AT5G38260
MA_10431586g0010	AT2G43040
MA_10432388g0010	AT4G35760
MA_10433658g0010	AT5G04770
MA_10434034g0020	AT1G21740
MA_276143g0010	AT5G55090
MA_58118g0010	AT5G48385
MA_767345g0010	AT5G17190
MA_927631g0010	AT5G46050
MA_9969164g0010	AT1G27180
MA_10425789g0020	AT5G14260
MA_124819g0010	AT2G45540
MA_89100g0010	AT1G45000
MA_9619995g0010	AT1G08200
MA_78797g0010	AT1G03190
MA_10426323g0010	AT3G04070
MA_1065g0010	AT2G29210
MA_10661g0020	AT2G15490
MA_12714g0010	AT1G21730
MA_133779g0010	AT4G11650
MA_139378g0010	AT5G17310
MA_241180g0010	AT1G17100
MA_392462g0010	AT5G54160
MA_4707799g0010	AT3G20015
MA_53529g0010	AT4G29080
MA_67650g0010	AT4G28360
MA_68488g0010	AT2G46080
MA_69740g0010	AT1G80160
MA_73460g0010	AT1G30330
MA_7571130g0010	AT3G01190
MA_96853g0010	AT3G11440
MA_10087605g0010	AT1G77380
MA_10107625g0010	AT1G15000
MA_10427022g0010	AT4G35740
MA_10431423g0010	AT3G25500
MA_10434133g0010	AT4G29130
MA_10434451g0010	AT4G29130
MA_20242g0010	AT4G35000
MA_39166g0010	AT4G28450
MA_7571373g0010	AT2G41540
MA_8638132g0010	AT1G24190
MA_8813800g0010	AT4G33760
MA_9032753g0010	AT4G08850
MA_9213257g0010	AT1G12140
MA_926324g0010	AT2G03880
MA_193999g0010	AT3G52490
MA_10207543g0010	AT5G06570
MA_10217960g0010	AT1G12775
MA_103794g0010	AT2G33150
MA_10426748g0010	AT5G61580
MA_10427734g0010	AT4G23620
MA_10429159g0020	AT5G02610
MA_10429867g0010	AT2G32760
MA_10429894g0010	AT1G52910
MA_10431378g0010	AT3G54420
MA_10434542g0010	AT4G16730
MA_10435143g0010	AT3G45980
MA_120020g0010	AT3G24120
MA_126865g0020	AT1G74120
MA_158099g0010	AT1G63910
MA_184970g0010	AT4G34090
MA_261655g0010	AT4G29560
MA_34236g0010	AT3G52960
MA_432761g0010	AT2G36750
MA_46171g0010	AT1G08470
MA_717641g0010	AT4G33300
MA_8480333g0010	AT2G36380
MA_89609g0010	AT1G28110
MA_9209g0010	AT3G49200
MA_98176g0010	AT2G30860
MA_10111401g0010	AT3G06510
MA_10192951g0010	AT1G51660
MA_10304588g0010	AT5G46330
MA_10427477g0010	AT1G11880
MA_10428747g0020	AT1G08250
MA_10429227g0010	AT3G06260
MA_10434810g0020	AT2G24200
MA_10436563g0030	AT1G73390
MA_112226g0010	AT2G24830
MA_176189g0010	AT4G32250
MA_32845g0010	AT2G20560
MA_385280g0010	AT3G23940
MA_449559g0010	AT4G31590
MA_475170g0010	AT4G02750
MA_501459g0010	AT5G53370
MA_6792038g0010	AT5G39710
MA_705543g0010	AT5G23860
MA_8412271g0010	AT2G22070
MA_878674g0010	AT5G45190
MA_8896770g0010	AT2G16405
MA_9796468g0010	AT2G29120
MA_10203451g0010	AT3G48190
MA_260364g0010	AT3G09080
MA_7653493g0010	AT1G14850
MA_10104738g0010	AT2G17570
MA_10285340g0010	AT1G64880
MA_103946g0010	AT4G16110
MA_10427291g0010	AT3G47550
MA_10428247g0010	AT3G57120
MA_10430293g0010	AT1G05670
MA_10432810g0010	AT5G48600
MA_10434259g0010	AT1G67720
MA_12125g0020	AT5G03140
MA_14004g0010	AT3G52500
MA_140861g0010	AT1G55040
MA_18584g0010	AT5G10780
MA_230170g0010	AT3G28580
MA_382493g0010	AT1G80160
MA_384628g0010	AT3G48700
MA_448160g0010	AT3G54420
MA_577114g0010	AT1G34300
MA_76602g0010	AT1G63450
MA_87653g0010	AT2G14740
MA_91432g0010	AT1G67960
MA_9605877g0010	AT3G21430
MA_10427412g0010	AT2G34810
MA_10429920g0010	AT1G63770
MA_1166335g0010	AT4G16745
MA_14282g0020	AT4G26120
MA_15071g0030	AT3G14240
MA_160265g0010	AT4G33070
MA_20544g0030	AT5G13930
MA_252134g0010	AT1G67960
MA_2937g0010	AT2G32070
MA_10434415g0020	AT1G66980
MA_10435148g0010	AT4G16730
MA_109071g0010	AT1G19090
MA_127745g0010	AT5G57990
MA_20392g0010	AT2G29560
MA_571554g0010	AT1G44575
MA_6985771g0010	AT4G05050
MA_9293473g0010	AT3G45980
MA_958537g0010	AT1G48380
MA_10158783g0010	AT5G52970
MA_10426927g0010	AT3G20630
MA_10428493g0010	AT1G08190
MA_10435286g0010	AT3G07760
MA_10437239g0010	AT4G04180
MA_286274g0010	AT1G04770
MA_428315g0010	AT3G14360
MA_655069g0010	AT2G45540
MA_72143g0010	AT5G07180
MA_7262107g0010	AT5G41150
MA_7835328g0010	AT2G38970
MA_90733g0020	AT1G10310
MA_9146756g0010	AT5G51660
MA_10358253g0010	AT1G64790
MA_10134g0010	AT5G23535
MA_101621g0020	AT3G48080
MA_102821g0020	AT4G37210
MA_109553g0010	AT1G26880
MA_13982g0020	AT1G26520
MA_177881g0010	AT4G01700
MA_7581523g0010	AT1G26880
MA_89226g0010	AT4G31080
MA_10298057g0010	AT3G06170
MA_10432315g0010	AT1G27170
MA_17826g0010	AT4G35630
MA_18736g0010	AT3G28360
MA_198162g0010	AT4G02930
MA_599646g0010	AT5G49470
MA_9575031g0010	AT2G20130
MA_10431429g0010	AT5G06970
MA_10434780g0010	AT3G14420
MA_136077g0010	AT3G02520
MA_14092g0010	AT4G16730
MA_31247g0010	AT5G17270
MA_432105g0010	AT4G13000
MA_654419g0010	AT1G56120
MA_7491816g0010	AT2G29560
MA_947911g0010	AT4G18520
MA_100562g0010	AT3G19280
MA_205795g0010	AT3G12520
MA_31569g0010	AT4G02750
MA_446696g0010	AT2G01170
MA_45623g0010	AT3G48860
MA_57453g0010	AT2G32700
MA_7737733g0010	AT2G01890
MA_9247617g0010	AT1G02170
MA_9435232g0010	AT1G34130
MA_10428763g0010	AT1G26170
MA_9202971g0010	AT4G02510
MA_147637g0010	AT3G01280
MA_1574g0010	AT5G03840
MA_365544g0010	AT5G44250
MA_8884419g0010	AT3G62250
MA_9597898g0010	AT3G48980
MA_10426371g0010	AT2G31970
MA_10428070g0020	AT2G35060
MA_10429996g0010	AT5G58230
MA_116407g0010	AT1G18390
MA_129875g0010	AT4G37060
MA_178212g0010	AT4G33950
MA_374257g0010	AT1G74700
MA_5717063g0010	AT5G60020
MA_7745471g0010	AT2G38620
MA_10430088g0010	AT1G17720
MA_7750089g0010	AT5G26860
MA_14844g0010	AT4G31750
MA_8846750g0010	AT4G38620
MA_10325415g0020	AT1G31420
MA_122420g0010	AT5G55090
MA_173818g0010	AT1G08520
MA_458872g0010	AT1G19090
MA_484050g0010	AT1G16780
MA_9045725g0010	AT3G49500
MA_15773g0010	AT5G43960
MA_180850g0010	AT5G53190
MA_208149g0010	AT3G58810
MA_4447g0020	AT4G22880
MA_5949706g0010	AT1G54290
MA_7851774g0010	AT5G19820
MA_10431507g0030	AT5G51890
MA_473202g0010	AT5G11850
MA_53105g0010	AT1G77690
MA_561902g0010	AT2G29380
MA_6445935g0010	AT5G49910
MA_710118g0010	AT3G48060
MA_10212229g0010	AT1G67720
MA_10259968g0010	AT3G03060
MA_10282285g0020	AT3G47570
MA_1037959g0010	AT5G51890
MA_10426052g0030	AT1G66080
MA_10431116g0010	AT1G08030
MA_10431213g0010	AT5G53340
MA_10434321g0020	AT3G50120
MA_10434433g0010	AT3G45980
MA_10435592g0010	AT5G38240
MA_10435723g0010	AT1G23740
MA_10436115g0010	AT4G26470
MA_10436229g0010	AT2G41660
MA_115810g0010	AT5G42520
MA_120000g0010	AT3G06920
MA_152538g0010	AT2G36800
MA_160436g0010	AT1G06720
MA_17777g0010	AT5G53190
MA_178479g0010	AT3G48080
MA_18743g0010	AT4G16730
MA_20217g0010	AT5G21090
MA_211369g0010	AT2G31160
MA_314020g0010	AT5G52650
MA_48532g0010	AT1G60710
MA_49967g0020	AT1G67000
MA_56061g0010	AT1G72470
MA_8212817g0010	AT2G18170
MA_8317372g0010	AT5G39390
MA_86060g0010	AT5G46050
MA_88419g0010	AT2G30590
MA_9567870g0010	AT4G17520
MA_10040462g0010	AT3G47570
MA_10122110g0010	AT4G33360
MA_10182847g0010	AT2G02370
MA_10231938g0010	AT4G33950
MA_10253298g0010	AT4G00960
MA_10383971g0010	AT3G17205
MA_11670g0010	AT5G58170
MA_134857g0010	AT1G65280
MA_150387g0010	AT5G27000
MA_161230g0010	AT3G60860
MA_450000g0010	AT5G23200
MA_63773g0010	AT2G26330
MA_6741659g0010	AT3G13530
MA_8098714g0010	AT2G41790
MA_8597812g0010	AT2G26070
MA_906198g0010	AT4G34980
MA_10436254g0040	AT3G23670
MA_367716g0010	AT2G37050
MA_10044709g0010	AT1G77460
MA_1031425g0010	AT5G51890
MA_10426517g0010	AT5G49510
MA_10426551g0010	AT4G16730
MA_10428638g0010	AT3G60740
MA_10431093g0030	AT4G29080
MA_10431719g0010	AT4G00330
MA_10433174g0020	AT2G19130
MA_10434494g0010	AT4G16740
MA_10434617g0010	AT2G03140
MA_10435115g0010	AT1G54840
MA_10435482g0010	AT5G64250
MA_114261g0010	AT5G12900
MA_138103g0010	AT3G61590
MA_14743g0010	AT1G67570
MA_172506g0010	AT3G29030
MA_18092g0010	AT2G28080
MA_181281g0010	AT3G07760
MA_229578g0010	AT1G63970
MA_25646g0010	AT5G55250
MA_325587g0010	AT1G73340
MA_350848g0010	AT2G45570
MA_654072g0010	AT2G46170
MA_780013g0010	AT5G16010
MA_8122611g0010	AT1G01300
MA_959934g0010	AT2G27920
MA_10426570g0010	AT5G11850
MA_10427618g0020	AT2G26060
MA_10427784g0010	AT4G26110
MA_10428784g0010	AT1G73110
MA_10433103g0010	AT5G61670
MA_10437058g0010	AT2G14860
MA_118303g0010	AT5G46330
MA_131191g0010	AT3G54830
MA_137848g0010	AT5G35753
MA_226g0010	AT4G14050
MA_25375g0010	AT1G27170
MA_276589g0010	AT3G09630
MA_7010g0010	AT5G07590
MA_866125g0010	AT5G48740
MA_8674188g0010	AT1G52360
MA_106517g0010	AT1G27170
MA_8226062g0010	AT3G62010
MA_10431368g0010	AT5G09430
MA_10432325g0010	AT1G67180
MA_4256184g0010	AT5G61510
MA_735g0010	AT3G06530
MA_8556553g0010	AT5G12950
MA_9461283g0010	AT1G74700
MA_9550858g0010	AT4G34090
MA_1001810g0020	AT5G48940
MA_10179441g0010	AT1G79620
MA_10244876g0010	AT3G27540
MA_10270015g0010	AT2G07050
MA_10386409g0010	AT2G43330
MA_10429697g0010	AT1G12250
MA_10432130g0010	AT4G37560
MA_10432584g0010	AT4G23100
MA_10433191g0010	AT2G18760
MA_10436822g0010	AT5G04710
MA_209836g0010	AT3G20540
MA_25228g0020	AT5G48940
MA_705422g0010	AT5G58490
MA_8567568g0010	AT5G60990
MA_9412363g0010	AT4G37870
MA_960985g0010	AT2G07050
MA_96117g0010	AT1G44820
MA_10122651g0010	AT1G60420
MA_10431452g0010	AT5G04990
MA_139360g0010	AT5G46050
MA_30699g0010	AT2G05630
MA_565283g0010	AT1G27200
MA_7320190g0010	AT5G59870
MA_925263g0010	AT5G66680
MA_9401071g0010	AT1G10630
MA_10218670g0010	AT4G15840
MA_10255873g0020	AT3G53750
MA_10434443g0010	AT4G31390
MA_10437257g0020	AT5G19820
MA_104997g0010	AT3G02530
MA_1974574g0010	AT2G30110
MA_60620g0010	AT1G29320
MA_673714g0010	AT5G16270
MA_6881142g0010	AT5G12180
MA_912293g0010	AT1G05490
MA_9445355g0010	AT4G02050
MA_9991108g0010	AT2G23070
MA_10427553g0010	AT1G75290
MA_10607g0010	AT3G02920
MA_135096g0010	AT1G55230
MA_166015g0010	AT5G50970
MA_9273457g0010	AT3G54690
MA_9439348g0010	AT1G51410
MA_1019822g0010	AT4G32820
MA_10428023g0010	AT4G26300
MA_10433599g0010	AT2G23070
MA_358042g0010	AT5G16770
MA_387705g0010	AT1G79190
MA_566086g0010	AT1G30330
MA_7717876g0010	AT1G59820
MA_8080239g0010	AT5G47010
MA_90677g0020	AT1G23010
MA_10435216g0010	AT3G44600
MA_10333127g0010	AT2G30870
MA_10435210g0010	AT1G63160
MA_114554g0010	AT2G38810
MA_260458g0010	AT2G30550
MA_316329g0010	AT3G48610
MA_738195g0010	AT1G76310
MA_8356281g0010	AT3G13540
MA_35027g0010	AT5G64670
MA_73037g0010	AT3G47570
MA_10428418g0010	AT5G16260
MA_10434601g0020	AT2G36380
MA_15758g0010	AT3G54670
MA_180359g0010	AT3G54630
MA_10047924g0010	AT1G31420
MA_10269942g0010	AT3G63290
MA_10427382g0010	AT4G21580
MA_10431897g0040	AT5G65460
MA_124774g0010	AT2G37160
MA_125592g0010	AT4G13260
MA_198304g0010	AT3G24220
MA_319037g0010	AT5G17530
MA_40537g0010	AT5G65730
MA_56527g0010	AT1G32780
MA_10095232g0010	AT5G05970
MA_10426252g0010	AT5G60590
MA_116182g0010	AT2G15900
MA_133928g0010	AT1G12280
MA_41437g0010	AT2G24530
MA_4705238g0010	AT4G24520
MA_502954g0010	AT1G76040
MA_5918g0010	AT1G13060
MA_10431181g0010	AT5G23720
MA_1121869g0010	AT3G55620
MA_151623g0010	AT3G55620
MA_168293g0010	AT5G27740
MA_20674g0010	AT1G51710
MA_43129g0010	AT2G38840
MA_5880462g0010	AT3G55620
MA_822922g0020	AT5G23210
MA_8374078g0010	AT3G07160
MA_8792016g0010	AT5G25930
MA_89044g0010	AT1G60680
MA_67041g0010	AT2G41710
MA_8415532g0010	AT3G20540
MA_10219509g0010	AT5G18980
MA_10434287g0010	AT2G24270
MA_8785718g0010	AT5G20480
MA_887770g0010	AT4G02050
MA_10433493g0010	AT1G17880
MA_10433791g0010	AT5G23400
MA_10435307g0010	AT4G10550
MA_10436821g0010	AT1G69040
MA_130339g0010	AT5G46100
MA_175574g0010	AT1G26880
MA_187402g0010	AT4G31460
MA_267089g0010	AT2G05100
MA_289156g0010	AT3G51680
MA_303578g0010	AT3G46640
MA_481299g0010	AT2G35930
MA_51645g0010	AT1G69530
MA_614278g0020	AT1G01040
MA_61728g0010	AT1G15710
MA_74237g0010	AT4G16740
MA_7597689g0010	AT5G10770
MA_87523g0010	AT1G64200
MA_923946g0010	AT1G65010
MA_92793g0010	AT2G45080
MA_99372g0010	AT5G07990
MA_10115166g0010	AT1G68750
MA_10191035g0010	AT5G03340
MA_10315336g0010	AT3G02230
MA_10428886g0010	AT5G43810
MA_10432387g0010	AT4G37040
MA_10434044g0010	AT3G60370
MA_10436676g0010	AT3G27470
MA_210256g0010	AT2G24270
MA_2496g0010	AT3G53760
MA_295092g0010	AT5G17920
MA_36514g0010	AT4G36880
MA_440489g0010	AT2G13560
MA_5880530g0010	AT1G18270
MA_619670g0010	AT4G34850
MA_74747g0010	AT2G21630
MA_8185944g0010	AT5G50400
MA_9452468g0010	AT3G48560
MA_9843773g0010	AT5G49760
MA_10078675g0010	AT5G48740
MA_10201271g0010	AT2G43760
MA_103508g0010	AT5G15120
MA_10428855g0010	AT2G39650
MA_10435407g0010	AT4G18040
MA_10436413g0020	AT1G22340
MA_113962g0010	AT1G74040
MA_11492g0010	AT3G04670
MA_126501g0010	AT5G50260
MA_13587g0010	AT5G06710
MA_155034g0010	AT1G16670
MA_1638g0010	AT4G30780
MA_237379g0010	AT2G36780
MA_263076g0010	AT1G12280
MA_396269g0010	AT1G19715
MA_487257g0010	AT3G27080
MA_55138g0010	AT4G29260
MA_61874g0010	AT5G24300
MA_74345g0010	AT5G39390
MA_7437g0010	AT1G80160
MA_80427g0010	AT3G61870
MA_8931839g0010	AT1G12775
MA_10297274g0010	AT3G50950
MA_10301061g0010	AT2G32660
MA_10425812g0010	AT4G17740
MA_10426668g0020	AT1G22360
MA_10426797g0010	AT3G16060
MA_10429346g0010	AT1G03160
MA_10431406g0010	AT5G62050
MA_10431609g0010	AT4G16260
MA_10434511g0010	AT2G13650
MA_10434832g0010	AT3G55620
MA_10436342g0010	AT5G19580
MA_10436598g0010	AT2G22120
MA_122613g0010	AT3G09010
MA_149871g0010	AT3G16060
MA_178283g0010	AT4G20130
MA_24841g0010	AT5G15400
MA_25938g0010	AT4G12690
MA_41457g0010	AT1G02880
MA_46020g0010	AT5G10330
MA_67997g0010	AT4G24490
MA_9222330g0010	AT3G47390
MA_9293920g0010	AT1G19140
MA_9511853g0010	AT4G30020
MA_9935790g0010	AT1G79620
MA_802195g0010	AT4G30160
MA_8298525g0010	AT3G59140
MA_9488516g0010	AT1G79620
MA_9946503g0010	AT4G15233
MA_10394027g0010	AT5G17820
MA_10426382g0010	AT3G27120
MA_10429090g0010	AT1G10460
MA_10432972g0020	AT5G53390
MA_10434372g0010	AT1G34220
MA_10434573g0010	AT5G46860
MA_10435432g0010	AT3G18620
MA_10436389g0010	AT1G63810
MA_10436472g0010	AT1G32100
MA_130251g0010	AT4G19860
MA_134742g0010	AT1G62640
MA_140486g0010	AT2G35270
MA_479682g0010	AT1G76140
MA_609805g0010	AT1G04860
MA_817741g0010	AT3G20540
MA_8197973g0010	AT2G20900
MA_8816501g0010	AT3G10380
MA_8898639g0010	AT1G78370
MA_9468439g0010	AT1G03520
MA_10097134g0010	AT4G10840
MA_10210834g0010	AT2G37570
MA_10428054g0010	AT3G26680
MA_10429986g0010	AT1G54150
MA_10434054g0010	AT5G51430
MA_10435899g0020	AT2G41040
MA_109190g0010	AT5G03340
MA_117919g0010	AT3G63290
MA_156539g0010	AT1G24130
MA_295661g0010	AT1G10670
MA_307628g0010	AT2G46420
MA_338g0010	AT3G25110
MA_553396g0010	AT1G74310
MA_7185808g0010	AT1G80870
MA_74258g0020	AT5G54080
MA_814663g0020	AT3G15730
MA_913739g0010	AT4G34420
MA_9806705g0010	AT4G29130
MA_9999505g0010	AT5G39040
MA_171137g0010	AT4G14150
MA_10430397g0010	AT1G65910
MA_10431244g0010	AT1G23750
MA_10435042g0010	AT3G07510
MA_10435864g0010	AT4G34730
MA_10436613g0010	AT4G35987
MA_133154g0010	AT5G19280
MA_136569g0010	AT3G23600
MA_152275g0010	AT5G23090
MA_18730g0010	AT1G22840
MA_4091230g0010	AT4G36630
MA_47308g0010	AT2G36750
MA_70181g0010	AT4G27940
MA_10072439g0010	AT4G29540
MA_10426054g0020	AT5G01400
MA_10428371g0010	AT1G70530
MA_10431081g0010	AT5G03900
MA_10432154g0010	AT5G13760
MA_197532g0010	AT1G18550
MA_204887g0010	AT1G02530
MA_6687889g0010	AT3G44730
MA_83197g0010	AT1G21170
MA_8663208g0010	AT3G13490
MA_10430220g0010	AT3G23250
MA_10431132g0020	AT5G48150
MA_10431241g0010	AT5G14320
MA_10432735g0010	AT5G63860
MA_10865g0010	AT3G26950
MA_117309g0010	AT5G46050
MA_13676g0010	AT1G68920
MA_14925g0010	AT2G30870
MA_167002g0010	AT5G51110
MA_179743g0010	AT4G00370
MA_27152g0010	AT1G80670
MA_37646g0010	AT5G02790
MA_70943g0010	AT4G29420
MA_831591g0010	AT4G25570
MA_9266390g0010	AT4G18220
MA_10429025g0010	AT3G06483
MA_10430455g0020	AT1G12580
MA_10437068g0010	AT4G19645
MA_341382g0010	AT2G44500
MA_438149g0010	AT1G53580
MA_73829g0020	AT5G05390
MA_10427059g0010	AT2G46580
MA_10427262g0010	AT2G34690
MA_10429417g0010	AT1G20510
MA_10434081g0010	AT1G65430
MA_19162g0010	AT1G52740
MA_316475g0010	AT4G38620
MA_379228g0010	AT2G38290
MA_467548g0010	AT5G58600
MA_10427096g0010	AT1G22360
MA_212337g0010	AT1G12220
MA_23152g0010	AT4G30440
MA_29732g0010	AT2G22530
MA_703842g0010	AT1G31420
MA_101378g0010	AT4G15920
MA_10426708g0010	AT1G80160
MA_10427335g0010	AT4G31400
MA_105458g0010	AT2G42940
MA_137857g0010	AT2G32720
MA_240507g0010	AT1G09900
MA_6218g0010	AT1G77360
MA_6761g0010	AT2G35680
MA_73031g0010	AT5G38110
MA_8824317g0010	AT5G42650
MA_9392760g0010	AT5G06570
MA_9401507g0010	AT4G05050
MA_140582g0010	AT1G74850
MA_19263g0020	AT3G54140
MA_252610g0010	AT5G07990
MA_3676g0010	AT2G40760
MA_407719g0010	AT3G14630
MA_625179g0010	AT5G63390
MA_8520921g0010	AT4G33950
MA_112657g0010	AT4G26090
MA_10433250g0020	AT4G04885
MA_106169g0010	AT5G04200
MA_135987g0010	AT1G33490
MA_150838g0010	AT4G01070
MA_193904g0010	AT1G80160
MA_9863865g0010	AT1G55020
MA_99899g0010	AT1G68020
MA_10376558g0010	AT5G24080
MA_10426056g0010	AT4G08900
MA_10437270g0020	AT5G62030
MA_140622g0010	AT1G60995
MA_7702134g0010	AT4G10380
MA_943933g0010	AT3G21350
MA_2299642g0010	AT3G55550
MA_315276g0010	AT4G26780
MA_38969g0010	AT3G19090
MA_5781354g0010	AT3G22400
MA_580596g0010	AT5G54510
MA_60801g0010	AT5G53390
MA_10089894g0010	AT5G17680
MA_10271923g0010	AT5G61410
MA_10325649g0010	AT5G48600
MA_10428532g0010	AT3G18140
MA_15827g0020	AT3G12400
MA_169487g0010	AT2G33150
MA_39811g0010	AT1G08760
MA_8769g0010	AT1G12840
MA_954521g0010	AT3G08760
MA_103312g0010	AT1G25580
MA_10427064g0010	AT5G40740
MA_10432456g0010	AT1G02205
MA_10433177g0020	AT3G10130
MA_10435977g0020	AT3G01460
MA_10437004g0010	AT5G25050
MA_160743g0020	AT5G56890
MA_1734g0010	AT5G41040
MA_179774g0010	AT2G32560
MA_18127g0010	AT2G21620
MA_18411g0010	AT5G58000
MA_224992g0010	AT1G05850
MA_29002g0010	AT2G31260
MA_29364g0010	AT1G20970
MA_32857g0010	AT1G27180
MA_37876g0020	AT5G13960
MA_434619g0010	AT5G42610
MA_4704g0010	AT1G26780
MA_54929g0010	AT5G57660
MA_57676g0010	AT1G12860
MA_6160g0010	AT1G16210
MA_66608g0020	AT1G75000
MA_68993g0010	AT3G54560
MA_8305051g0010	AT3G22104
MA_936250g0010	AT4G05100
MA_94185g0010	AT2G39950
MA_9721034g0010	AT5G06570
MA_10434521g0010	AT5G27100
MA_10435056g0020	AT2G17265
MA_10436477g0010	AT4G36650
MA_151238g0010	AT1G16760
MA_165875g0010	AT2G37680
MA_338608g0010	AT5G56730
MA_387g0010	AT5G02310
MA_4112116g0010	AT2G27690
MA_6244331g0010	AT5G60020
MA_83516g0010	AT1G27090
MA_8718211g0020	AT2G45560
MA_872479g0010	AT3G22950
MA_10427698g0020	AT5G26240
MA_10293443g0010	AT1G75290
MA_10426911g0010	AT5G49470
MA_10429761g0010	AT3G15480
MA_10430026g0010	AT1G77120
MA_10430766g0010	AT3G09740
MA_10431507g0010	AT5G51890
MA_10432987g0020	AT1G77520
MA_10433521g0010	AT5G07630
MA_10435570g0010	AT4G29260
MA_10436207g0010	AT4G16440
MA_10436826g0010	AT5G08100
MA_10437184g0010	AT5G23530
MA_1043798g0010	AT5G01340
MA_1055776g0010	AT5G01340
MA_120538g0010	AT1G11890
MA_135496g0010	AT5G64330
MA_152453g0010	AT5G03810
MA_161149g0010	AT5G46330
MA_197101g0010	AT3G63440
MA_20409g0010	AT1G70750
MA_223125g0010	AT1G17110
MA_327945g0010	AT1G76690
MA_379710g0010	AT5G60020
MA_445192g0010	AT1G14340
MA_71924g0010	AT4G18520
MA_824550g0010	AT3G20540
MA_8558020g0010	AT5G05390
MA_924620g0010	AT5G59870
MA_93127g0010	AT4G38620
MA_97732g0010	AT4G21450
MA_10040248g0010	AT1G67480
MA_10142119g0010	AT2G03120
MA_10144795g0010	AT5G40200
MA_10426844g0010	AT5G20480
MA_10426886g0010	AT4G24710
MA_10429835g0010	AT4G20760
MA_104304g0010	AT1G12280
MA_10433557g0010	AT2G27800
MA_10433883g0010	AT1G36160
MA_123163g0010	AT1G12580
MA_149233g0010	AT1G21450
MA_162771g0010	AT3G21430
MA_164736g0010	AT2G03780
MA_170387g0010	AT3G21430
MA_177990g0020	AT1G67940
MA_197421g0020	AT2G30550
MA_250003g0010	AT4G01850
MA_312221g0020	AT4G01070
MA_41844g0010	AT2G46260
MA_4827g0010	AT5G54960
MA_5079g0010	AT5G51570
MA_525155g0010	AT5G54630
MA_695852g0010	AT3G03990
MA_8468563g0010	AT5G48470
MA_895058g0010	AT1G64390
MA_9080600g0010	AT5G18230
MA_9212404g0010	AT4G30720
MA_10166045g0010	AT3G17900
MA_10434932g0010	AT2G11000
MA_7872523g0010	AT1G04910
MA_10427227g0050	AT3G21480
MA_10436848g0010	AT2G40660
MA_134875g0010	AT5G01160
MA_145665g0010	AT4G00680
MA_18604g0010	AT1G02530
MA_188220g0010	AT5G05340
MA_25624g0020	AT3G09300
MA_275250g0010	AT4G15920
MA_3996g0010	AT3G18800
MA_497004g0010	AT4G10955
MA_53373g0010	AT3G13540
MA_5528g0010	AT4G31300
MA_5854361g0010	AT1G29150
MA_60199g0010	AT4G36450
MA_665331g0010	AT5G49760
MA_73095g0010	AT1G59940
MA_763053g0010	AT2G09990
MA_8134718g0010	AT2G40300
MA_90778g0010	AT1G10360
MA_90879g0010	AT5G01710
MA_91881g0010	AT5G05710
MA_96911g0010	AT4G14540
MA_10299282g0010	AT1G36280
MA_103506g0010	AT2G15490
MA_10431164g0010	AT1G08980
MA_23052g0010	AT2G37250
MA_24182g0010	AT1G32490
MA_4063g0010	AT1G12470
MA_44026g0010	AT1G12220
MA_45405g0010	AT5G62670
